Symbol,Risk
LB,39.56166418971003
LLL,19.007052735382366
LH,17.72014579515012
LRCX,29.026094469645162
LEG,20.58866417074092
LEN,23.77617652587322
LUK,22.978722506154355
LVLT,21.963896354139255
LLY,18.22368146710302
LNC,23.716271922565696
LLTC,42.64482313628567
LKQ,19.556094313925335
LMT,16.00876285212534
L,18.155593049861913
LOW,20.496873001819036
LYB,22.182928779784827
MTB,18.076309532230177
MAC,25.27599167459603
M,45.49474187869465
MNK,42.64482313628567
MRO,38.88747208120379
MPC,23.483678776154076
MAR,19.918760392437058
MMC,16.35528845537563
MLM,26.4042832142768
MAS,19.034833022820916
MA,16.930889163368935
MAT,59.922212009128565
MKC,0.0
MCD,16.485278539952
MCK,26.08306930627148
MJN,42.64482313628567
MDT,17.60675840473724
MRK,19.944242240142245
MET,23.664364826086167
MTD,24.086534128901206
KORS,40.65995813602869
MCHP,23.293653174252878
MU,38.41419296020464
MSFT,17.518393812792162
MAA,19.222111446036894
MHK,19.5984421861918
TAP,19.81498556995267
MDLZ,16.262935487994657
MON,18.81213499582099
MNST,20.869783796288267
MCO,21.78267866812322
MS,21.75965293567289
MSI,20.776322751005342
MUR,34.4749612649265
MYL,33.4249097938631
NDAQ,20.92049128264219
NOV,32.116413797052026
NAVI,42.64482313628567
NTAP,38.555802930722024
NFLX,33.42395017469332
NWL,42.73175953309703
NFX,36.112707881086905
NEM,34.93882398521884
NWSA,26.30414950039063
NWS,24.761713088124658
NEE,13.95124267337323
NLSN,25.60936464193009
NKE,23.335634477907888
NI,15.935121837514055
NBL,33.44067474661565
JWN,34.40752866492144
NSC,20.118279993927217
NTRS,22.058030406212687
NOC,16.0576347945603
NRG,46.468636428428404
NUE,26.990849621464523
NVDA,38.55792911965558
ORLY,29.10007255732622
OXY,19.433349455316527
OMC,21.18431333854446
OKE,25.89523659084478
ORCL,21.91067197360414
PCAR,21.368163091408082
PH,19.189133916758593
PDCO,25.664676607143015
PAYX,18.22358974612944
PYPL,23.572271618099506
PNR,22.640469971909212
PBCT,18.252248155038906
PEP,13.142992273628684
PKI,21.45690720403626
PRGO,30.992216797504064
PFE,14.997388056143318
PCG,28.95368995437239
PM,18.641248727637734
PSX,18.696011444422307
PNW,14.241769095880482
PXD,31.287693912833042
PNC,17.849429000551737
RL,32.656533716594716
PPG,19.364141911140955
PPL,19.09456844178385
PX,18.20362795527198
PCLN,24.938686867118296
PFG,19.687218461728698
PG,14.892722933899838
PGR,18.1105530518397
PLD,19.176218071790057
PRU,19.766001341298335
PEG,15.025757254146658
PSA,0.0
PHM,25.52724103109846
PVH,26.88072676829943
QRVO,36.48701993850071
QCOM,37.454902479469325
PWR,22.900058199094047
DGX,20.147863458340083
RRC,44.42217571314814
RTN,16.389474628808113
O,18.396602509928258
RHT,23.64392638946965
REG,18.56411426937081
REGN,33.823907063032706
RF,21.265236644169285
RSG,15.518509559125013
RAI,42.64482313628567
RHI,24.064863440062695
ROK,18.3926024499952
COL,21.27887236312051
ROP,16.968005631548845
ROST,23.153862327914236
RCL,25.521445924172376
R,24.12845136657821
SPGI,19.04291624975655
CRM,21.38410777690332
SCG,26.072420711948784
SLB,27.190592777941685
SNI,28.497635015032465
STX,40.4960636970624
SEE,20.576588860745744
SRE,16.483697420274833
SHW,20.85563187067074
SIG,56.81153471793361
SPG,18.056158805714972
SWKS,29.485770717188238
SLG,22.12640379517365
SNA,20.930740163409332
SO,42.64482313628567
LUV,26.817311756445083
SWN,56.91623674018237
SWK,18.872531696855262
SPLS,42.64482313628567
SBUX,18.86080143370984
STT,9.230375653169254
SRCL,24.234116962572543
SYK,17.680330770540007
STI,42.64482313628567
SYMC,30.42984086504847
SYF,28.410831985581353
SYY,17.925712777469975
TROW,20.79720875492342
TGT,27.46688449201783
TEL,0.0
TGNA,38.1757584222221
TDC,28.020278866765903
TSO,42.64482313628567
TXN,20.953155077592093
TXT,19.951029976909325
BK,20.53375678202652
CLX,15.639121640638482
COO,22.421136405309536
HSY,16.01988239244672
MOS,34.09700698352653
TRV,9.230375653169254
DIS,17.543364141123103
TMO,21.69111181235434
TIF,24.394802488196714
TWX,21.020569349755814
TJX,16.77929001035146
TMK,16.350690277811566
TSS,21.11210517145077
TSCO,29.08676346896187
TDG,25.10539627178358
RIG,0.0
TRIP,40.23135611520487
FOXA,25.68921401839466
FOX,25.816954606532317
TSN,21.624572060035952
USB,0.0
UDR,17.32395661155928
ULTA,28.212278891779913
UA,50.20105146487784
UAA,47.63546927671774
UNP,20.2185197131508
UAL,33.226467761291204
UNH,16.934742227640136
UPS,16.128105082038545
URI,31.437872566028517
UTX,17.998083367398962
UHS,24.38327537765538
UNM,20.624356737399417
URBN,40.87543160388579
VFC,22.0069372198996
VLO,19.921512418761534
VAR,21.94037257294855
VTR,21.996348622809894
VRSN,19.47909957314731
VRSK,18.611876927393457
VZ,20.870804031418526
VRTX,40.2953229420944
VIAB,38.022338497148205
V,16.673902185863962
VNO,19.96665606206303
VMC,23.563536236719017
WMT,18.830774781528493
WBA,23.221218708325807
WM,15.827312930124043
WAT,0.0
WEC,13.585856863167686
WFC,19.28729394694503
HCN,0.0
WDC,35.593795781732865
WU,18.505855575203388
WRK,20.54406677176064
WY,20.828341133087665
WHR,27.574477317933827
WFM,42.64482313628567
WMB,27.53821041326603
WLTW,18.780368099541196
WYN,19.301485470240078
WYNN,30.670799871058318
XEL,13.87752865788118
XRX,28.448422986543303
XLNX,23.804270586878275
XL,22.705667529977557
XYL,21.43397481177556
YHOO,42.64482313628567
YUM,18.202583838774153
ZBH,24.331229494267873
ZION,21.119810187130764
ZTS,0.0
